country,date,fertility_rate,gdp_per_capita,gdp_growth_rate,population,unemployment_rate,net_migration,avg_dest_gdp,gdp_gap_ratio,migration_pressure,pop_growth,gdp_lag_5,fertility_lag_3
Bangladesh,2022,2.179,2716.48592780431,7.09982877575158,169384897.0,4.593,-549990.0,54293.2500889066,19.986575131199345,43.55074721088337,1.0294970762474653,1811.08221668646,2.18
Bangladesh,2023,2.163,2551.01773827307,5.77511237007889,171466990.0,3.352,-549918.0,56934.79321505122,22.318462298734797,48.27483395216336,1.2292081743273675,1965.24372731467,2.175
Brazil,2000,2.247,3766.54786339835,4.38794944364869,174018282.0,10.889,-45800.0,27050.256836082543,7.181710631887889,16.137303789852087,,,
Brazil,2001,2.162,3176.28975052524,1.3898964044581,176301203.0,10.649,-51600.0,27035.9502538777,8.511802252740628,18.402516470425237,1.311885724742412,,
Brazil,2002,2.081,2855.94017137049,3.05346185683619,178503484.0,10.641,-42008.0,28408.729514927418,9.947242522694312,20.700211689726864,1.2491582374511756,,
Brazil,2003,2.006,3090.6068907839,1.14082899877101,180622688.0,11.168,-55350.0,32507.90732405692,10.518292514326088,21.09969478373813,1.1872059595206652,,2.247
Brazil,2004,1.973,3663.82262497811,5.75996463685998,182675143.0,10.072,-76661.0,36517.24976751736,9.966980802662501,19.664853123653117,1.1363218113551676,,2.162
Brazil,2005,1.942,4827.78165890291,3.20213206216255,184688101.0,10.551,-88868.0,38505.624311958745,7.9758421222199525,15.489085401351147,1.1019331732506243,3766.54786339835,2.081
Brazil,2006,1.896,5934.14561857454,3.96198870899485,186653106.0,9.692,-90634.0,40982.619977352224,6.9062376644536725,13.094226611804162,1.0639586358625275,3176.28975052524,2.006
Brazil,2007,1.854,7409.69003822861,6.06987060733128,188552320.0,9.28,-107481.0,45435.300017531576,6.131875933152194,11.368497980064168,1.017509989895382,2855.94017137049,1.973
Brazil,2008,1.815,8908.33338467948,5.09419544811998,190367302.0,8.268,-141056.0,46955.33693399176,5.270945182041053,9.56676550540451,0.9625879967958051,3090.6068907839,1.942
Brazil,2009,1.799,8678.6584730653,-0.12581200299141,192079951.0,9.419,-220207.0,42255.83467634836,4.868936231042125,8.759216279644782,0.8996550258405289,3663.82262497811,1.896
Brazil,2010,1.786,11403.2840038694,7.52822581812151,193701929.0,8.42,-261539.0,43814.67728781202,3.842285895268826,6.862322608950124,0.8444285785974559,4827.78165890291,1.854
